img_file,bbox_x1,bbox_y1,bbox_x2,bbox_y2,class
train_00001.jpg,1,80,641,461,108
train_00002.jpg,57,53,293,236,71
train_00003.jpg,35,42,227,160,76
train_00004.jpg,10,21,254,165,188
train_00005.jpg,1,67,772,573,44
train_00006.jpg,220,313,1054,976,29
train_00007.jpg,1,42,595,432,113
train_00008.jpg,46,55,665,391,66
train_00009.jpg,21,39,268,156,97
train_00010.jpg,14,3,382,191,177
train_00011.jpg,86,49,216,169,142
train_00012.jpg,21,153,304,269,10
train_00013.jpg,18,77,600,393,127
train_00014.jpg,44,113,609,319,108
train_00015.jpg,32,111,611,398,64
train_00016.jpg,37,334,1486,1120,93
train_00017.jpg,39,37,271,203,39
train_00018.jpg,47,65,249,180,196
train_00019.jpg,162,250,963,615,173
train_00020.jpg,40,68,487,263,135
train_00021.jpg,14,43,268,147,152
train_00022.jpg,21,27,249,145,108
train_00023.jpg,37,71,352,247,178
train_00024.jpg,27,48,279,175,134
train_00025.jpg,20,8,185,113,131
train_00026.jpg,61,26,578,480,50
train_00027.jpg,6,61,319,175,28
train_00028.jpg,1,74,476,359,65
train_00029.jpg,36,178,988,669,21
train_00030.jpg,42,75,382,273,30
train_00031.jpg,33,94,611,391,91
train_00032.jpg,166,597,1949,1431,164
train_00033.jpg,63,110,710,451,4
train_00034.jpg,13,43,243,167,5
train_00035.jpg,61,62,403,293,180
train_00036.jpg,205,89,713,327,193
train_00037.jpg,122,39,564,402,165
train_00038.jpg,68,84,696,466,135
train_00039.jpg,38,170,685,385,105
train_00040.jpg,77,114,960,646,8
train_00041.jpg,129,94,502,382,76
train_00042.jpg,178,142,487,358,63
train_00043.jpg,68,165,585,375,133
train_00044.jpg,35,81,228,163,56
train_00045.jpg,358,366,1300,860,103
train_00046.jpg,22,10,450,226,20
train_00047.jpg,40,76,584,315,96
train_00048.jpg,54,231,614,397,141
train_00049.jpg,25,98,591,353,14
train_00050.jpg,19,109,585,409,13
train_00051.jpg,69,29,408,236,84
train_00052.jpg,236,267,1016,708,99
train_00053.jpg,93,44,727,495,190
train_00054.jpg,31,32,210,158,157
train_00055.jpg,48,92,261,161,59
train_00056.jpg,86,81,371,252,1
train_00057.jpg,20,20,1003,746,147
train_00058.jpg,82,307,1369,1036,96
train_00059.jpg,32,39,232,143,14
train_00060.jpg,66,70,872,501,182
train_00061.jpg,17,36,639,417,172
train_00062.jpg,12,41,518,314,171
train_00063.jpg,9,14,296,223,155
train_00064.jpg,26,31,681,412,147
train_00065.jpg,13,41,300,174,69
train_00066.jpg,7,43,295,190,13
train_00067.jpg,63,107,422,296,40
train_00068.jpg,41,97,473,350,60
train_00069.jpg,5,137,963,688,75
train_00070.jpg,43,93,266,212,105
train_00071.jpg,118,397,682,619,164
train_00072.jpg,12,33,438,241,113
train_00073.jpg,49,141,994,704,81
train_00074.jpg,68,96,583,372,165
train_00075.jpg,4,15,87,54,18
train_00076.jpg,121,87,465,278,196
train_00077.jpg,11,6,495,271,54
train_00078.jpg,40,47,526,394,183
train_00079.jpg,41,35,592,377,142
train_00080.jpg,44,35,404,223,73
train_00081.jpg,71,43,352,317,49
train_00082.jpg,17,30,405,278,48
train_00083.jpg,37,143,988,613,66
train_00084.jpg,2,6,500,279,154
train_00085.jpg,88,220,645,423,80
train_00086.jpg,30,191,609,380,98
train_00087.jpg,61,128,576,387,30
train_00088.jpg,603,287,1435,711,167
train_00089.jpg,219,213,1156,543,168
train_00090.jpg,64,123,548,346,52
train_00091.jpg,15,35,261,147,88
train_00092.jpg,86,69,534,360,100
train_00093.jpg,17,97,615,444,118
train_00094.jpg,98,93,808,478,30
train_00095.jpg,26,25,283,157,1
train_00096.jpg,53,276,1330,723,161
